PMID	trai	gene	snps	chid	cpos	pval	meta
22412388	Crohn's disease	SLCO6A1	rs7705924	5	102611094	2E-8	0
22412388	Crohn's disease	HLA-F, MOG, HLA-G, GABBR1, HLA-H, UBD, HLA-A	rs9258260	6	29755384	2E-10	0
22412388	Crohn's disease	C8orf84, TERF1, RPL7, RDH10, KCNB2	rs12677663	8	73095112	2E-8	0
22412388	Crohn's disease	TCERG1L	rs10734105	10	131373856	3E-8	0
22412388	Crohn's disease	ZNF365, ERG2, ADO	rs7076156	10	62655424	7E-9	0
22412388	Crohn's disease	NKX2-3, SLC25A28, GOT1, ENTPD7, CNNM1, COX15, CUTC	rs11190141	10	99532633	5E-7	0
22412388	Crohn's disease	SLC43A3, PRG2, PRG3	rs11229030	11	57435536	8E-9	0
22412388	Crohn's disease	NOD2, CYLD, SNX20, NKD1	rs2076756	16	50722970	1E-37	0
22412388	Crohn's disease	PSMB10	rs11574514	16	67937477	2E-7	0
22412388	Crohn's disease	CCL7, CCL2, CCL11, CCL8, CCL13, CCL1	rs3091316	17	34266955	4E-8	0
22412388	Crohn's disease	PUS10, PEX13, REL, KIAA1841, C2orf74, PAPOLG, USP34	rs13003464	2	60959694	5E-9	0
22412388	Crohn's disease	IL3, ACSL6, P4HA2, PDLIM4, SLC22A4	rs3091338	5	132067045	4E-8	0
22412388	Crohn's disease	Intergenic	rs1906493	8	126080638	3E-6	0
21102463	Crohn's disease	ZNF365	rs10761659	10	62685804	4E-22	1
21102463	Crohn's disease	ZMIZ1	rs1250550	10	79300560	1E-30	1
21102463	Crohn's disease	ZFP36L1	rs4902642	14	68743482	2E-10	1
21102463	Crohn's disease	YDJC	rs181359	22	21574352	5E-16	1
21102463	Crohn's disease	UBE2D1	rs1819658	10	58153390	9E-17	1
21102463	Crohn's disease	TYK2,ICAM1,ICAM3	rs12720356	19	10359299	1E-12	1
21102463	Crohn's disease	TNFSF18,TNFSF4,FASLG	rs7517810	1	172884320	2E-15	1
21102463	Crohn's disease	TNFSF15,TNFSF8	rs3810936	9	114790605	1E-15	1
21102463	Crohn's disease	TNFSF11	rs2062305	13	42478744	5E-10	1
21102463	Crohn's disease	THADA	rs10495903	2	43579779	2E-14	1
21102463	Crohn's disease	TAGAP	rs212388	6	159069404	2E-11	1
21102463	Crohn's disease	SP140	rs7423615	2	230252159	3E-13	1
21102463	Crohn's disease	SMAD3	rs17293632	15	67150258	3E-19	1
21102463	Crohn's disease	SLC22A4,SLC22A5,IRF1,IL3	rs12521868	5	132448701	1E-20	1
21102463	Crohn's disease	SCAMP3,MUC1	rs3180018	1	155260340	2E-13	1
21102463	Crohn's disease	RTEL1,TNFRS-F6B,SLC2A4RG	rs4809330	20	63718234	3E-15	1
21102463	Crohn's disease	PTPN22	rs2476601	1	113834946	4E-9	1
21102463	Crohn's disease	PTPN2	rs1893217	18	12809341	1E-14	1
21102463	Crohn's disease	PTGER4	rs11742570	5	40410482	7E-36	1
21102463	Crohn's disease	PRDX5,ESRRA	rs694739	11	64329761	6E-10	1
21102463	Crohn's disease	PRDM1	rs6568421	6	105987150	4E-8	1
21102463	Crohn's disease	PLCL1	rs6738825	2	198032171	4E-9	1
21102463	Crohn's disease	NOD2	rs2076756	16	50722970	4E-69	1
21102463	Crohn's disease	NKX2-3	rs4409764	10	99524480	2E-20	1
21102463	Crohn's disease	NDFIP1	rs11167764	5	142099500	2E-9	1
21102463	Crohn's disease	MUC19,LRRK2	rs11564258	12	40398498	6E-21	1
21102463	Crohn's disease	MTMR3	rs713875	22	30196498	7E-12	1
21102463	Crohn's disease	MST1,GPX1,BSN	rs3197999	3	49684099	6E-17	1
21102463	Crohn's disease	MLX,STAT3	rs11871801	17	42418754	3E-8	1
21102463	Crohn's disease	MAP3K7IP1	rs2413583	22	39263768	1E-26	1
21102463	Crohn's disease	LTA,HLA-DQA2,TNF,LST1,LTB	rs1799964	6	31574531	4E-11	1
21102463	Crohn's disease	JAK2	rs10758669	9	4981602	1E-13	1
21102463	Crohn's disease	IRGM	rs7714584	5	150890858	8E-19	1
21102463	Crohn's disease	IL2RA	rs12722489	10	6060049	3E-9	1
21102463	Crohn's disease	IL27,SH2B1,EIF3C,LAT,CD19	rs151181	16	28479196	2E-11	1
21102463	Crohn's disease	IL23R	rs11209026	1	67240275	1E-64	1
21102463	Crohn's disease	IL18RAP,IL12RL2,IL18R1,IL1RL1	rs2058660	2	102437989	2E-12	1
21102463	Crohn's disease	IL12B	rs6556412	5	159360377	5E-14	1
21102463	Crohn's disease	VAMP3	rs2797685	1	7819003	7E-9	1
21102463	Crohn's disease	IL10,IL19	rs3024505	1	206766559	2E-14	1
21102463	Crohn's disease	IKZF1,ZPBP,FIGNL1	rs1456896	7	50264865	1E-8	1
21102463	Crohn's disease	ICOSLG	rs2838519	21	44195140	2E-14	1
21102463	Crohn's disease	GSMDL,ZPBP2,ORMDL3,IKZF3	rs2872507	17	39884510	2E-9	1
21102463	Crohn's disease	GPX4,SBNO2	rs740495	19	1124836	8E-12	1
21102463	Crohn's disease	GCKR	rs780093	2	27519736	5E-11	1
21102463	Crohn's disease	GALC,GPR65	rs8005161	14	88006251	4E-18	1
21102463	Crohn's disease	FUT2,RASIP1	rs281379	19	48711017	7E-12	1
21102463	Crohn's disease	FADS1	rs102275	11	61790331	2E-11	1
21102463	Crohn's disease	ERAP2,LRAP	rs2549794	5	96908845	1E-10	1
21102463	Crohn's disease	DNMT3A	rs13428812	2	25269598	9E-10	1
21102463	Crohn's disease	DENND1B	rs1998598	1	197758512	9E-9	1
21102463	Crohn's disease	CREM	rs12242110	10	35246767	1E-9	1
21102463	Crohn's disease	CPEB4	rs359457	5	173852839	3E-12	1
21102463	Crohn's disease	CDKAL1	rs6908425	6	20728500	1E-8	1
21102463	Crohn's disease	CD244,ITLN1	rs4656940	1	160860478	6E-7	1
21102463	Crohn's disease	CCR6	rs415890	6	166993145	3E-12	1
21102463	Crohn's disease	CCL2,CCL7	rs3091315	17	34266646	2E-13	1
21102463	Crohn's disease	CARD9,SNAPC4	rs4077515	9	136372044	1E-36	1
21102463	Crohn's disease	C2orf74,REL	rs10181042	2	60997124	7E-9	1
21102463	Crohn's disease	C1orf106,KIF21B	rs7554511	1	200908434	2E-7	1
21102463	Crohn's disease	C13orf31	rs3764147	13	43883789	1E-10	1
21102463	Crohn's disease	C11orf30	rs7927997	11	76590331	6E-13	1
21102463	Crohn's disease	BACH2	rs1847472	6	90263440	5E-9	1
21102463	Crohn's disease	ATG16L1	rs3792109	2	233275771	7E-41	1
21102463	Crohn's disease	intergenic	rs13073817	3	18665366	7E-9	1
21102463	Crohn's disease	intergenic	rs7702331	5	73255307	6E-12	1
21102463	Crohn's disease	intergenic	rs17309827	6	3433084	7E-9	1
21102463	Crohn's disease	intergenic	rs6651252	8	128554935	4E-18	1
21102463	Crohn's disease	intergenic	rs736289	19	33266156	9E-9	1
21102463	Crohn's disease	intergenic	rs1736020	21	15440233	9E-12	1
21102463	Crohn's disease	intergenic	rs4871611	8	125525328	2E-12	1
20570966	Crohn's disease	FUT2	rs504963	19	48705608	2E-8	0
20570966	Crohn's disease	IL23R	rs11465804	1	67236843	1E-6	0
20570966	Crohn's disease	ATG16L1	rs2241880	2	233274722	3E-6	0
20570966	Crohn's disease	IBD5	rs2188962	5	132435113	1E-7	0
20570966	Crohn's disease	IL12B	rs10045431	5	159387525	7E-8	0
20570966	Crohn's disease	CCR6,FGFR10P,RNASE2	rs2301436	6	167024500	6E-8	0
20570966	Crohn's disease	NOD2	rs2066847	16	50729867	2E-15	0
18587394	Crohn's disease	Unknown	rs3764147	13	43883789	2E-13	0
18587394	Crohn's disease	IL12B	rs10045431	5	159387525	4E-13	0
18587394	Crohn's disease	CCR6	rs2301436	6	167024500	1E-12	0
18587394	Crohn's disease	STAT3	rs744166	17	42362183	7E-12	0
18587394	Crohn's disease	Unknown	rs7746082	6	105987394	2E-10	0
18587394	Crohn's disease	PTPN22	rs2476601	1	113834946	1E-8	0
18587394	Crohn's disease	ITLN1	rs2274910	1	160882256	1E-9	0
18587394	Crohn's disease	Intergenic	rs9286879	1	172893094	2E-9	0
18587394	Crohn's disease	Intergenic	rs11584383	1	200966738	1E-11	0
18587394	Crohn's disease	CDKAL1	rs6908425	6	20728500	9E-10	0
18587394	Crohn's disease	Intergenic	rs1456893	7	50230076	5E-9	0
18587394	Crohn's disease	Intergenic	rs1551398	8	125527809	5E-9	0
18587394	Crohn's disease	JAK2	rs10758669	9	4981602	3E-9	0
18587394	Crohn's disease	Intergenic	rs17582416	10	34998722	2E-9	0
18587394	Crohn's disease	C11orf30	rs7927894	11	76590272	1E-9	0
18587394	Crohn's disease	LRRK2, MUC19	rs11175593	12	40208138	3E-10	0
18587394	Crohn's disease	ORMDL3	rs2872507	17	39884510	5E-9	0
18587394	Crohn's disease	Intergenic	rs1736135	21	15432901	7E-9	0
18587394	Crohn's disease	ICOSLG	rs762421	21	44195678	1E-9	0
18587394	Crohn's disease	IL23R	rs11465804	1	67236843	7E-63	0
18587394	Crohn's disease	ATG16L1	rs3828309	2	233271764	2E-32	0
18587394	Crohn's disease	MST1	rs3197999	3	49684099	1E-12	0
18587394	Crohn's disease	PTGER4	rs4613763	5	40392626	7E-27	0
18587394	Crohn's disease	Intergenic	rs2188962	5	132435113	2E-18	0
18587394	Crohn's disease	IRGM	rs11747270	5	150879305	3E-16	0
18587394	Crohn's disease	TNFSF15	rs4263839	9	114804160	3E-10	0
18587394	Crohn's disease	NKX2-3	rs11190140	10	99531836	3E-16	0
18587394	Crohn's disease	NOD2	rs2066847	16	50729867	3E-24	0
18587394	Crohn's disease	PTPN2	rs2542151	18	12779948	5E-17	0
18587394	Crohn's disease	ZNF365	rs10995271	10	62678726	4E-20	0
17804789	Crohn's disease	IL23R	rs11209003,rs11209002,rs2064689,rs1004819,rs2902440,rs11465802,rs2201841,rs11465804,rs11209026,rs1343151,rs10889676,rs10889677,rs9988642,rs12567232,rs6669582,rs10789230			1E-8	0
17804789	Crohn's disease	IL23R	rs11209003,rs11209002,rs2064689,rs1004819,rs2902440,rs11465802,rs2201841,rs11465804,rs11209026,rs1343151,rs10889676,rs10889677,rs9988642,rs12567232,rs6669582,rs10789230			2E-7	0
17804789	Crohn's disease	NOD2	rs5743289	16	50722863	6E-17	0
17684544	Crohn's disease	CARD15	rs2076756	16	50722970	1E-21	0
17684544	Crohn's disease	PTGER4	rs1992660	5	40414965	4E-7	0
17684544	Crohn's disease	NELL1	rs1793004	11	20677383	3E-6	0
17435756	Crohn's disease	ATG16L1	rs2241880	2	233274722	1E-13	0
17435756	Crohn's disease	Intergenic	rs224136	10	62710915	1E-10	0
17435756	Crohn's disease	CARD15	rs2076756	16	50722970	7E-14	0
17435756	Crohn's disease	IL23R	rs7517847	1	67215986	3E-12	0
17447842	Crohn's disease	Intergenic	rs1373692	5	40431081	2E-12	0
17447842	Crohn's disease	IL23R	rs11209026	1	67240275	2E-18	0
17447842	Crohn's disease	CARD15	rs5743289	16	50722863	1E-6	0
